web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien-src
"1772356235-1","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Bœufs","350 000CFA","location_onLouga, Sénégal","https://images.coinafrique.com/thumb_2694719_uploaded_image1_1602688985.jpg"
"1772356235-2","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Vaches laitières","2 000 000CFA","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_2687649_uploaded_image1_1602441772.jpg"
"1772356235-3","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chèvre Bouc de race","200 000CFA","location_onLouga, Sénégal","https://images.coinafrique.com/thumb_2675855_uploaded_image1_1601992602.jpg"
"1772356235-4","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Bouc chèvre","100 000CFA","location_onDiamniadio, Sénégal","https://images.coinafrique.com/thumb_2673741_uploaded_image2_1601909107.jpeg"
"1772356235-5","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Paon bleu","225 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_2663712_uploaded_image1_1601554766.jpg"
"1772356235-6","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chatons","Prix sur demande","location_onGorée, Dakar, Sénégal","https://images.coinafrique.com/thumb_2637004_uploaded_image1_1600508302.jpg"
"1772356235-7","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oie","100 000CFA","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_2630503_uploaded_image1_1600266971.jpg"
"1772356235-8","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oiseau Maknol","Prix sur demande","location_onKaffrine, Sénégal","https://images.coinafrique.com/thumb_2583338_uploaded_image1_1598650419.jpg"
"1772356235-9","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies","80 000CFA","location_onDiourbel, Sénégal","https://images.coinafrique.com/thumb_2550824_uploaded_image1_1597673774.jpg"
"1772356235-10","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Vaches hollandaises","Prix sur demande","location_onSaint Louis, Sénégal","https://images.coinafrique.com/thumb_2434087_uploaded_image1_1594647765.jpg"
"1772356235-11","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Géniteur hollandais Holstein","1 200 000CFA","location_onMboro, Sénégal","https://images.coinafrique.com/thumb_2430101_uploaded_image1_1594560513.jpg"
"1772356235-12","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Dindes","Prix sur demande","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_2421638_uploaded_image1_1594369039.jpg"
"1772356235-13","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Souris blanc","Prix sur demande","location_onHann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_2407511_uploaded_image1_1594131854.jpg"
