web_scraper_order,web_scraper_start_url,details,prix,adresse,image_lien-src
"1772355916-193","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poussins","Prix sur demande","location_onKeur Massar, Sénégal","https://images.coinafrique.com/thumb_2586569_uploaded_image1_1598802371.jpg"
"1772355916-194","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poulets","3 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_2577823_uploaded_image1_1598451435.jpg"
"1772355916-195","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poules Brahman","15 000CFA","location_onKeur Massar, Sénégal","https://images.coinafrique.com/thumb_2572060_uploaded_image1_1598279843.jpg"
"1772355916-196","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeons cravaté chinois","15 000CFA","location_onKeur Massar, Sénégal","https://images.coinafrique.com/thumb_2566760_uploaded_image1_1598102409.jpg"
"1772355916-197","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeons dragon blanc sec & voyageur","15 000CFA","location_onKeur Massar, Sénégal","https://images.coinafrique.com/thumb_2561021_uploaded_image1_1597934615.jpg"
"1772355916-198","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Brahman colombia","Prix sur demande","location_onKeur Massar, Sénégal","https://images.coinafrique.com/thumb_2560354_uploaded_image1_1597924245.jpg"
"1772355916-199","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lapin nain","35 000CFA","location_onParcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2541523_uploaded_image1_1597358026.jpg"
"1772355916-200","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lapin nain","30 000CFA","location_onParcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2541503_uploaded_image1_1597357353.jpg"
"1772355916-201","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeons","Prix sur demande","location_onMboro, Sénégal","https://images.coinafrique.com/thumb_2521008_uploaded_image1_1596768507.jpg"
"1772355916-202","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poulet - oeuf","Prix sur demande","location_onHann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_2516606_uploaded_image1_1596653482.jpg"
"1772355916-203","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon allemand","50 000CFA","location_onMbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2516109_uploaded_image1_1596644250.jpg"
"1772355916-204","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poussins brahman colombia","Prix sur demande","location_onKeur Massar, Sénégal","https://images.coinafrique.com/thumb_2513890_uploaded_image1_1596608950.jpg"
"1772355916-205","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Paons","5 000CFA","location_onMbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2511822_uploaded_image1_1596551448.jpg"
"1772355916-206","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon voyageur","7 000CFA","location_onMbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2507523_uploaded_image1_1596456276.jpg"
"1772355916-207","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon voyageur","7 000CFA","location_onMbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2505095_uploaded_image1_1596378141.jpg"
"1772355916-208","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lapin femelle","25 000CFA","location_onFass, Dakar, Sénégal","https://images.coinafrique.com/thumb_2501399_uploaded_image1_1596221963.jpg"
"1772355916-209","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon boulant de pomerani mâle","50 000CFA","location_onGuediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2499730_uploaded_image1_1596141952.jpg"
"1772355916-210","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon voyageur","Prix sur demande","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_2463056_uploaded_image1_1595273844.jpg"
"1772355916-211","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poussîns","480CFA","location_onDakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2455108_uploaded_image1_1595083998.jpg"
"1772355916-212","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poulet","3 000CFA","location_onPatte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2450669_uploaded_image1_1594987392.jpg"
"1772355916-213","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lapins","20 000CFA","location_onKeur Massar, Sénégal","https://images.coinafrique.com/thumb_2429419_uploaded_image1_1594546501.jpg"
"1772355916-214","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeons","40 000CFA","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_2421679_uploaded_image1_1594369562.jpg"
"1772355916-215","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poussin brahmane","12 500CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_2421069_uploaded_image1_1594340902.jpg"
"1772355916-216","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poussins Brahman","Prix sur demande","location_onKeur Massar, Sénégal","https://images.coinafrique.com/thumb_2397001_uploaded_image1_1593963655.jpg"
"1772355916-217","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Cailles","12 500CFA","location_onKeur Massar, Sénégal","https://images.coinafrique.com/thumb_2394348_uploaded_image1_1593899461.jpg"
"1772355916-218","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Colvert","25 000CFA","location_onKeur Massar, Sénégal","https://images.coinafrique.com/thumb_2373373_uploaded_image1_1593556758.jpg"
"1772355916-219","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poule de race","15 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_2351149_uploaded_image1_1593181470.jpg"
"1772355916-220","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lapins","50 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_2349641_uploaded_image1_1593167061.jpg"
"1772355916-221","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poules bleu Hollande","2 000CFA","location_onDiourbel, Sénégal","https://images.coinafrique.com/thumb_2336310_uploaded_image1_1592955606.jpg"
"1772355921-222","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Dinde","15 000CFA","location_onTouba, Sénégal","https://images.coinafrique.com/thumb_3148596_uploaded_image1_1622649167.jpg"
"1772355921-223","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon","500CFA","location_onMbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3142583_uploaded_image2_1622471438.jpeg"
"1772355921-224","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeons voyageurs","12 000CFA","location_onThies, Sénégal","https://images.coinafrique.com/thumb_3140949_uploaded_image1_1622373951.jpg"
"1772355921-225","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapin","Prix sur demande","location_onBargny, Sénégal","https://images.coinafrique.com/thumb_3136627_uploaded_image1_1622124684.jpg"
"1772355921-226","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon Mondain","180 000CFA","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_3131153_uploaded_image1_1621866089.jpg"
"1772355921-227","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Cailles jumbos","1 500CFA","location_onHLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_3131078_uploaded_image1_1621863390.jpg"
"1772355921-228","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapin Angora","25 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_3130806_uploaded_image1_1621853971.jpg"
"1772355921-229","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulets Brahman","40 000CFA","location_onMbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3128887_uploaded_image1_1621714606.jpg"
"1772355921-230","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poussins Brahma","5 000CFA","location_onGuediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3126603_uploaded_image1_1621600775.jpg"
"1772355921-231","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Colvert","35 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_3125526_uploaded_image1_1621532802.jpg"
"1772355921-232","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulet","3 500CFA","location_onOuakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_3123441_uploaded_image1_1621440889.jpg"
"1772355921-233","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapins","22 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_3121121_uploaded_image1_1621343038.jpg"
"1772355921-234","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon","80 000CFA","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_3118080_uploaded_image1_1621187860.jpg"
"1772355921-235","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapereaux","15 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_3115873_uploaded_image1_1621043291.jpg"
"1772355921-236","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon Lahore - noir","25 000CFA","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_3104310_uploaded_image1_1620450328.jpg"
"1772355921-237","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon Lahore rouge","25 000CFA","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_3104308_uploaded_image1_1620450063.jpg"
"1772355921-238","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon cauchois","70 000CFA","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_3101934_uploaded_image1_1620336090.jpg"
"1772355921-239","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon voyageur Mento","20 000CFA","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_3101648_uploaded_image1_1620324800.jpg"
"1772355921-240","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulet de chair","3 500CFA","location_onThies, Sénégal","https://images.coinafrique.com/thumb_3101043_uploaded_image1_1620309572.jpg"
"1772355921-241","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon kochoi","70 000CFA","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_3099946_uploaded_image1_1620258649.jpg"
"1772355921-242","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Perruches  arc-en-ciel","40 000CFA","location_onMermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_3094776_uploaded_image1_1620059311.jpg"
"1772355921-243","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon Lahore","20 000CFA","location_onRufisque, Sénégal","https://images.coinafrique.com/thumb_3090984_uploaded_image1_1619904750.jpg"
"1772355921-244","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapin couple fauve adultes","80 000CFA","location_onHann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_3089288_uploaded_image1_1619848402.jpg"
"1772355921-245","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeons","80 000CFA","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_3087144_uploaded_image1_1619723224.jpg"
"1772355921-246","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Couples Pigeons Boulant Panarami reproducteurs","130 000CFA","location_onRufisque, Sénégal","https://images.coinafrique.com/thumb_3083820_uploaded_image1_1619564909.jpg"
"1772355921-247","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulet de chair","2 500CFA","location_onMbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3082778_uploaded_image1_1619528177.jpg"
"1772355921-248","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon Lahor","30 000CFA","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_3076680_uploaded_image1_1619200906.jpg"
"1772355921-249","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon","100 000CFA","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_3076669_uploaded_image1_1619200506.jpg"
"1772355921-250","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon","60 000CFA","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_3076664_uploaded_image1_1619200352.jpg"
"1772355921-251","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon","40 000CFA","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_3076657_uploaded_image1_1619200129.jpg"
"1772355921-252","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapin Angora","20 000CFA","location_onGrand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3072438_uploaded_image2_1619019452.jpeg"
"1772355921-253","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poules","3 500CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_3065835_uploaded_image1_1618714726.jpg"
"1772355921-254","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon Lahor","30 000CFA","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_3063589_uploaded_image1_1618596539.jpg"
"1772355921-255","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon Château Rouge","50 000CFA","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_3063568_uploaded_image1_1618595933.jpg"
"1772355921-256","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon Laor","60 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_3058782_uploaded_image1_1618401720.jpg"
"1772355921-257","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapin Angora","Prix sur demande","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_3055838_uploaded_image1_1618276360.jpg"
"1772355921-258","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapereaux","20 000CFA","location_onYoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3052171_uploaded_image1_1618086163.jpg"
"1772355921-259","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon","150 000CFA","location_onRufisque, Sénégal","https://images.coinafrique.com/thumb_3049719_uploaded_image1_1617978714.jpg"
"1772355921-260","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapins Angora métissés","15 000CFA","location_onSicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_3035970_uploaded_image1_1617382564.jpg"
"1772355921-261","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon","25 000CFA","location_onGuediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3033406_uploaded_image1_1617293184.jpg"
"1772355921-262","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Cochin blanche","65 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_3025104_uploaded_image1_1616923906.jpg"
"1772355921-263","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Coq Cochin blanc","70 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_3024487_uploaded_image1_1616866962.jpg"
"1772355921-264","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulets de chair","Prix sur demande","location_onGrand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3020864_uploaded_image1_1616685325.jpg"
"1772355921-265","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulets","Prix sur demande","location_onGrand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3020754_uploaded_image1_1616682583.jpg"
"1772355921-266","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulet de chair","3 000CFA","location_onTouba, Sénégal","https://images.coinafrique.com/thumb_3020570_uploaded_image1_1616677661.jpg"
"1772355921-267","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulet de chair","3 000CFA","location_onTouba, Sénégal","https://images.coinafrique.com/thumb_3017104_uploaded_image1_1616512963.jpg"
"1772355921-268","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Trio dindes rouge","130 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_3012683_uploaded_image1_1616280245.jpg"
"1772355921-269","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon voyageur","5 000CFA","location_onDakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_3011311_uploaded_image2_1616223766.jpeg"
"1772355921-270","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulet","3 000CFA","location_onSaint Louis, Sénégal","https://images.coinafrique.com/thumb_3010219_uploaded_image1_1616159454.jpg"
"1772355921-271","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poules bleus hollandais","6 500CFA","location_onSaint Louis, Sénégal","https://images.coinafrique.com/thumb_3009280_uploaded_image1_1616101333.jpg"
"1772355921-272","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Chateau","50 000CFA","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_3005856_uploaded_image1_1615940349.jpg"
"1772355921-273","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Jeune king","50 000CFA","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_3005849_uploaded_image1_1615939888.jpg"
"1772355921-274","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Chateau","50 000CFA","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_3005822_uploaded_image1_1615938255.jpg"
"1772355921-275","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Oison de Toulouse","Prix sur demande","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_3000848_uploaded_image1_1615686013.jpg"
"1772355921-276","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulet pondeuse","3 500CFA","location_onGuediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3000537_uploaded_image1_1615668903.jpg"
"1772355921-277","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poules Brahma","Prix sur demande","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_3000249_uploaded_image1_1615655282.jpg"
"1772355921-278","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Perruches ondulées","Prix sur demande","location_onPoint E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2996669_uploaded_image1_1615474536.jpg"
"1772355921-279","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Brahmâ","12 500CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_2984079_uploaded_image1_1614854523.jpg"
"1772355921-280","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapereaux Angora","15 000CFA","location_onHLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2981287_uploaded_image1_1614727616.jpg"
"1772355921-281","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapin Nain","30 000CFA","location_onNgor, Dakar, Sénégal","https://images.coinafrique.com/thumb_2979256_uploaded_image1_1614674197.jpg"
"1772355921-282","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulet","2 500CFA","location_onYoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2976666_uploaded_image1_1614589003.jpg"
"1772355921-283","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poussin  - 1  jour","Prix sur demande","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_2974676_uploaded_image1_1614452359.jpg"
"1772355921-284","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapins","15 000CFA","location_onGuediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2970567_uploaded_image1_1614250380.jpg"
"1772355921-285","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon Cokier","45 000CFA","location_onM'bour, Sénégal","https://images.coinafrique.com/thumb_2954851_uploaded_image1_1613494967.jpg"
"1772355921-286","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poussin brahman","3 000CFA","location_onMedina, Dakar, Sénégal","https://images.coinafrique.com/thumb_2950921_uploaded_image1_1613311102.jpg"
"1772355921-287","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poussins fermiers","10 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_2950193_uploaded_image1_1613251191.jpg"
"1772355921-288","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poussin brahmâ blanc hermine","10 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_2950013_uploaded_image1_1613239360.jpg"
"1772355921-289","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poussin brahmâ hermine","10 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_2949738_uploaded_image1_1613229441.jpg"
"1772355921-290","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeons","40 000CFA","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_2944254_uploaded_image1_1612982200.jpg"
"1772355921-291","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeons","30 000CFA","location_onJoal Fadiouth, Sénégal","https://images.coinafrique.com/thumb_2942609_uploaded_image1_1612913202.jpg"
"1772355921-292","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapereaux rex tricolore","Prix sur demande","location_onMbour, Sénégal","https://images.coinafrique.com/thumb_2932849_uploaded_image1_1612486492.jpg"
"1772355921-293","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulets de chair","3 000CFA","location_onOuakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_2923781_uploaded_image1_1612184473.jpg"
"1772355921-294","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon Lahore","40 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_2921833_uploaded_image1_1612100438.jpg"
"1772355921-295","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon Laor","40 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_2921831_uploaded_image1_1612100375.jpg"
"1772355921-296","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulet","Prix sur demande","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_2921773_uploaded_image1_1612098138.jpg"
"1772355921-297","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Paire pigeon Boulons","50 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_2921717_uploaded_image1_1612095131.jpg"
"1772355921-298","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Paire pigeon Coschoi","70 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_2921695_uploaded_image1_1612094191.jpg"
"1772355921-299","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Paire pigeon Romain","80 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_2921690_uploaded_image1_1612093907.jpg"
"1772355921-300","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon Karavaty chinoise","15 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_2921677_uploaded_image1_1612093526.jpg"
"1772355921-301","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulet Brahmâ blanc","30 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_2917728_uploaded_image1_1611862925.jpg"
"1772355921-302","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Coq Brahmâ blanc","35 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_2917722_uploaded_image1_1611862785.jpg"
"1772355921-303","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulet Brahma","35 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_2917717_uploaded_image1_1611862617.jpg"
"1772355921-304","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poule cochin","40 000CFA","location_onMedina, Dakar, Sénégal","https://images.coinafrique.com/thumb_2907921_uploaded_image1_1611416785.jpg"
"1772355921-305","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Cochin caillouté","Prix sur demande","location_onKeur Massar, Sénégal","https://images.coinafrique.com/thumb_2899128_uploaded_image1_1611044213.jpg"
"1772355925-306","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poules","3 000CFA","location_onMermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_3447997_uploaded_image1_1637496004.jpg"
"1772355925-307","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon Voyageur","17 000CFA","location_onTouba, Sénégal","https://images.coinafrique.com/thumb_3444824_uploaded_image1_1637284415.jpg"
"1772355925-308","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon Boulan blanc","Prix sur demande","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_3441505_uploaded_image1_1637127613.jpg"
"1772355925-309","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poule femelle Orpington","Prix sur demande","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_3441502_uploaded_image1_1637127447.jpg"
"1772355925-310","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapins","35 000CFA","location_onHann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_3437255_uploaded_image1_1636886889.jpg"
"1772355925-311","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon","Prix sur demande","location_onParcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3436083_uploaded_image1_1636807309.jpg"
"1772355925-312","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poussins brahma couple","22 000CFA","location_onYoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3426274_uploaded_image1_1636309987.jpg"
"1772355925-313","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon couple Cauchois","70 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_3418999_uploaded_image1_1635954718.jpg"
"1772355925-314","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon femelle Mondain","70 000CFA","location_onDakar, Sénégal","https://images.coinafrique.com/thumb_3418994_uploaded_image1_1635954539.jpg"
"1772355925-315","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeons Texan","60 000CFA","location_onRufisque, Sénégal","https://images.coinafrique.com/thumb_3414604_uploaded_image1_1635789687.jpg"
